dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
QUALITY,GOOD,60d,182,23,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.16019716616783958,0.11370946291141615,0.7472527472527473,0.07015180631228979,0.03331208779226241,0.6373626373626373,0.24301462328042464,0.00030079965289492305,0.27844706477355274,0.025868891357116845,0.10949413910789056,0.21090019322778858,0.032233727383050303,0.09701906049706098,0.22337527183861816,0.022502524348254598,0.02604685858971078,0.11425675403486879,0.024188214192258348,0.022742906495463427,0.11756070612911615,0.06870711687921598,0.16850837750743364,0.07020427051271619,0.17299344101758374,0.012403227362086702,0.0727317547115327,0.011628885961420771,0.06599230429854752,0.061576712277571666,0.029219422536735984,0.1257501622465126
QUALITY,GOOD,120d,172,21,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.3337356090449712,0.1946081084894291,0.7674418604651163,0.16512787105313298,0.05692186157852175,0.6162790697674418,0.5037865411856947,0.022197818545240333,0.4790423383843854,0.0583728380038484,0.21932484655742834,0.448146371532514,0.06959657210480062,0.19732632771956196,0.47014489037038043,0.05003652942887765,0.06705627337253278,0.2631994687337332,0.05393722587972454,0.059410908328872886,0.2708448337773931,0.09629636134497699,0.2883434503800808,0.11243312811561346,0.32548619496197406,0.0008774349290749939,0.15027074831359144,0.02142691927082252,0.13855225696318757,0.11656396766151333,0.05713152576747971,0.11833105335157318
QUALITY,GOOD,252d,160,21,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.8072726820726228,0.423001941817317,0.81875,0.4299167613209779,0.13193468437642653,0.65625,1.149039579276614,0.09324932528871438,1.0435786464747754,0.15716820511403112,0.49922300004912185,1.1153223640961238,0.20087359498130597,0.4135604359092631,1.2009849282359826,0.14251654614770534,0.15058433087147544,0.7092491917704804,0.130083902532551,0.17495231235717795,0.6848812102847779,0.1575881410958394,0.7305591495372882,0.2544470079089065,0.8023136973319668,0.022682408170714114,0.46928506911793644,0.04019162513391028,0.32232301334675184,0.24018665740110157,0.11865739571383516,0.14083781362007164
QUALITY,GOOD,504d,114,18,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.725070882757504,1.0829883380984064,0.956140350877193,1.0225247030925284,0.420038555185413,0.7719298245614035,2.047468177064649,0.35759429657842656,2.5286517223357485,0.38035379938184877,0.9795774359690805,2.470564329545928,0.26727226665300774,1.2012172401176089,2.248924525397399,0.37057966224223404,0.2961885650977497,1.748860841087307,0.16356455284221785,0.7019381795217814,1.3431112266632754,0.3839103099876364,1.9683373692964534,0.6578575218267547,1.5210578563490011,0.12306887392870308,1.2724717051518724,0.3267438038609616,0.5904000481712792,0.6491353406520882,0.33207902217918184,0.2155572755417956
QUALITY,ACCEPTABLE,60d,185,26,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.14703809754533334,0.06562512648577457,0.6756756756756757,0.055751015057184515,0.006571758969631025,0.5081081081081081,0.36838606834001364,-0.03539827692634445,0.22198180440332504,0.03452797859743855,0.07936325949435379,0.21471293559631288,0.043589403437364616,0.06160286680809869,0.232473328282568,0.028796441164223013,-0.0006900096246925877,0.11219203973906161,0.03615061568510968,-0.015104191685630465,0.1266062217999995,0.04241390736771067,0.09038456776034809,0.024806267885559275,0.10947143594426886,-0.014197375616174845,0.04169424882329231,-0.04268368291213931,0.051527111353859824,0.013492375851930083,0.0024790937141045966,-0.0035043670080165956
QUALITY,ACCEPTABLE,120d,175,26,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.2181984793168902,0.08877327431244852,0.6857142857142857,0.050804034081316604,-0.003219392697524359,0.49142857142857144,0.3953251793707263,-0.02184773978215304,0.3262514652869103,0.04752986159595988,0.12503995058880885,0.3113570080449716,0.047534774201404596,0.1250303218821372,0.3113666367516432,0.041524780116182554,-0.030584534946401204,0.1321926031090344,0.040580470785300624,-0.02873368865787261,0.1303417568205058,0.030640425662106674,0.1855668572078253,0.04686648960464189,0.17441851099468297,-0.06120133121618876,0.07026118940214876,-0.06120133121618876,0.05730227126103607,0.010729133484532749,-0.0030097285085664005,-0.006519444987297229
QUALITY,ACCEPTABLE,252d,159,26,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.4914069462730373,0.2232798516320229,0.779874213836478,0.12002563440256371,-0.026940089948258028,0.4779874213836478,0.8062782537941885,0.016096173090272115,0.5871292333753491,0.10869006193742507,0.2783744248756842,0.7044394676703905,0.11509121151261908,0.2658281717083039,0.7169857208377708,0.09583633673992355,-0.06781358560768642,0.30786485441281386,0.07308309369352729,-0.02321722923674978,0.2632684980418772,0.16518622559156307,0.3995087217456501,0.15831425169569147,0.30710659108600163,-0.14157043033673802,0.09868855266859906,-0.1303807695631014,0.07928750330736081,0.04046456721580749,-0.0402173786108494,-0.03742476499628056
QUALITY,ACCEPTABLE,504d,124,22,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.7812975436144393,0.3947229773022485,0.8225806451612904,0.2597492769208849,-0.0015691254506176033,0.5,1.6432141139055179,0.07863739308261625,0.9010208137626915,0.21984021027780634,0.35041073146993884,1.2121843557589398,0.20270407961015083,0.38399754757854365,1.178597539650335,0.20152336796346615,-0.13523652428750876,0.6547350781292786,0.13774759046444976,-0.010236000389436617,0.5297345542312064,0.15427440302241213,0.6716540641532442,0.19742512659348166,0.5970873037246036,-0.1243639869799279,0.21161538581515352,-0.06959691741308538,0.08974838916563821,-0.039130020144069744,-0.08952865845684876,-0.056372549019607865
QUALITY,WEAK,60d,436,30,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.09792250945494922,0.03811795761711079,0.6123853211009175,0.015544404361601968,-0.012397780932991376,0.4610091743119266,0.2781093998014168,-0.03773869282137138,0.1492274063292986,0.015717505530180254,0.06711619861579593,0.12872882029410251,0.025968205156740923,0.04702482734773701,0.14882019156216142,0.01568434420743628,-0.01519691028497314,0.04628571900817707,0.015083288642562247,-0.014018841377820036,0.04510765010102397,0.01956703286086492,0.06438623382409014,0.006346940466847712,0.06724701901597012,-0.03564558203432555,0.005833914686421693,-0.05083940585423893,0.009053622338626109,-0.014014793016733695,-0.016490446188517804,-0.050603300804198115
QUALITY,WEAK,120d,416,30,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.19967160155201613,0.05601523108568418,0.6514423076923077,0.05270644092188448,-0.033250050959989064,0.4375,0.5640127098234462,-0.04288022340221154,0.24018689845836888,0.03356300265297646,0.13388811635218228,0.26545508675185,0.05313386924043656,0.09552921784076047,0.3038139852632718,0.033324564631041956,-0.012609705754957748,0.1180225875987267,0.028423911520553832,-0.003004425658401033,0.10841730750216999,0.03930130909530181,0.10245989935330302,0.01311801285249109,0.11051700585072365,-0.06697354621527513,0.010436983789941129,-0.07168935219152792,-0.00022288326562658334,-0.022028909742231595,-0.033040386771031105,-0.060448016415868666
